statecode,countycode,fipscode,state,county,food_environment_index,access_to_exercise,uninsured,primary_care_physicians,mental_health_providers,high_school_completion_rate,unemployment,income_inequality,social_associations,air_pollution,drinking_water_violations,severe_housing_problems,food_insecurity,school_segregation,school_funding_adequacy,gender_pay_gap,nonwhite_white_residential_segregation,childcare_cost_burden,homeownership_rate,broadband_access,population,below_18,65_and_over,white_pop,female_pop,percent_rural,children_poverty,median_income,firearm_fatalities,suicides
01,001,01001,AL,Autauga County,6.5,0.6275860805,0.0935123905,4.474753e-4,3.740315e-4,0.8871368199,0.0488427897,5.1354458777,12.88728991,9.5,0,0.1472886574,0.157,0.05526245,-2618.608,0.7220387679,24.907957471,0.1752682602,0.7462312723,0.8270791781,56145,0.2318461127,0.1617597293,0.731659097,0.5150770327,0.4200216232,0.149,67565,17.592044088,17.7372965
01,003,01003,AL,Baldwin County,7.4,0.745079966,0.109067738,6.898591e-4,9.943869e-4,0.9047138458,0.0560648182,4.3864778271,10.123905857,7.2,0,0.1242050369,0.134,0.0901750956,333.9424,0.7474647914,28.948138935,0.1711674984,0.7699977394,0.850690685,229287,0.2112854196,0.2158212197,0.8330825559,0.5158905651,0.4227909911,0.124,71135,14.014402776,19.645883007
01,005,01005,AL,Barbour County,5.7,0.498379284,0.1299147324,3.645791e-4,2.440115e-4,0.7473169635,0.0704553395,5.9949269327,7.2915822734,9,0,0.1545998911,0.207,0.0370072178,-15097.365,0.7294148923,19.350653278,0.2431688365,0.6195022527,0.6463205321,24589,0.2047256903,0.2026109236,0.452641425,0.4718370003,0.677896347,0.375,38866,25.520172899,14.267052362
01,007,01007,AL,Bibb County,7.6,0.1060440759,0.1099324976,5.805126e-4,2.710517e-4,0.8088446863,0.0663194444,5.3940513578,8.930963651,9.4,0,0.1118421053,0.163,0.0920696582,-4279.571,0.7850586656,45.908037304,0.2140570059,0.7477613996,0.7612618818,22136,0.1999457897,0.1707625587,0.741778099,0.4681514275,0.6835260746,0.219,50907,17.818800617,17.42273562
01,009,01009,AL,Blount County,7.8,0.23376714,0.1427102744,2.248124e-4,1.727742e-4,0.8282513689,0.0408742549,4.7649692755,7.4361014077,9.4,0,0.1046116505,0.145,0.1084336851,-574.207,0.8535882835,30.143480312,0.2185569625,0.7607639708,0.7962273049,57879,0.2280274365,0.1900343821,0.8679832063,0.5055719691,0.8995150204,0.189,55203,20.396733757,20.517061307
01,011,01011,AL,Bullock County,4.6,0.0187832142,0.11099631,2.970003e-4,2.004812e-4,0.7494103774,0.0550020756,8.1070646221,7.92000792,9,0,0.1731301939,0.157,0.0081406272,-19216.87,0.6832526011,27.517585973,0.3575051322,0.7381160688,0.6062992126,9976,0.2081996792,0.1767241379,0.2109061748,0.4525862069,0.5137438153,0.387,33124,25.547301812,NA
01,013,01013,AL,Butler County,6.9,0.4163842078,0.115727003,2.570958e-4,6.665299e-4,0.8635311143,0.0884496466,5.7044203696,9.2554504319,8.8,0,0.1251862891,0.165,0.1126745388,-10514.71,0.8178666878,29.892479149,0.2801646636,0.7327417657,0.7360505339,19504,0.2205701395,0.2138535685,0.509792863,0.5342493847,0.7123215735,0.308,42268,26.408003656000002,13.633567924
01,015,01015,AL,Calhoun County,5.9,0.4915747394,0.1190381426,6.161701e-4,0.0014188897,0.8507351172,0.0705017301,4.7555305953,13.379692795,9.4,0,0.1295658932,0.172,0.2098309829,-4322.30736,0.7779538205,41.353138141,0.1880459221,0.7038050794,0.7976532352,113469,0.2140055874,0.1853369643,0.713957116,0.5191021336,0.3369682556,0.167,50259,26.108745554,21.549051976
01,017,01017,AL,Chambers County,7,0.567295046,0.1216412769,4.510736e-4,3.04275e-5,0.8258382062,0.0679483139,4.4609294674,18.042942202,9.3,0,0.1513133555,0.154,0.1647682154,-13302.8415,0.7525638024,32.819479794,0.3280431355,0.672434104,0.7452510676,32865,0.2052943861,0.2059333638,0.5478472539,0.5233531112,0.4914803449,0.262,39318,26.899396258,26.661577773
01,019,01019,AL,Cherokee County,7.2,0.246527377,0.1298178525,3.817377e-4,2.281889e-4,0.8282400878,0.0460349171,4.4754098361,8.3982287372,9.2,1,0.1098538425,0.161,0.0672417485,521.2178,0.7736446379,41.137449973,0.1699214099,0.7822997416,0.749907715,26294,0.1848710732,0.2427169697,0.9145052103,0.5043736214,0.8573627304,0.233,50388,25.364323925,22.913019325
01,021,01021,AL,Chilton County,7,0.4018513851,0.1373309139,2.250833e-4,6.081492e-4,0.8180943853,0.049714169,4.4054654626,14.855496534,9.5,0,0.1462686567,0.172,0.0698197341,-2372.258,0.7956956522,36.676672369,0.2247357334,0.7513418903,0.7461493582,44397,0.2376511926,0.1750343492,0.8014955965,0.5104173705,0.8674472424,0.21,52693,14.933072683,14.535613396
